[FRONTEND_JS_ERROR] la_time=2026-05-18 06:29:19 AM PDT | ip=67.168.58.121 | session_id=d522e6be4c06750e9a38768a274ff512 | script=/log_frontend_error.php | file=https://fleeescape.com/assets/js/escape-room.js | line=26 | col=52 | stack=global code@https://fleeescape.com/assets/js/escape-room.js:26:52 | url=https://fleeescape.com/birthday-party-escape-room-vr-party?gad_source=1&gad_campaignid=22182670738&gbraid=0AAAAADfWZ6FFinx5lpbkCWKgdQytJJc_k&gclid=CjwKCAjw8arQBhB9EiwAfIKdQrbUX4BSq3OgJJRiAGTdhXsQC_TXKsEOZ3FFI6ZsTh6n0WJH8JcADRoCkcwQAvD_BwE | message=TypeError: null is not an object (evaluating 'document.querySelector(".Boo_Prison_Escape_select").addEventListener')
[FRONTEND_JS_ERROR] la_time=2026-05-18 06:29:19 AM PDT | ip=67.168.58.121 | session_id=d522e6be4c06750e9a38768a274ff512 | script=/log_frontend_error.php | file=https://fleeescape.com/birthday-party-escape-room-vr-party?gad_source=1&gad_campaignid=22182670738&gbraid=0AAAAADfWZ6FFinx5lpbkCWKgdQytJJc_k&gclid=CjwKCAjw8arQBhB9EiwAfIKdQrbUX4BSq3OgJJRiAGTdhXsQC_TXKsEOZ3FFI6ZsTh6n0WJH8JcADRoCkcwQAvD_BwE | line=776 | col=12 | stack=@https://fleeescape.com/birthday-party-escape-room-vr-party:776:12 | url=https://fleeescape.com/birthday-party-escape-room-vr-party?gad_source=1&gad_campaignid=22182670738&gbraid=0AAAAADfWZ6FFinx5lpbkCWKgdQytJJc_k&gclid=CjwKCAjw8arQBhB9EiwAfIKdQrbUX4BSq3OgJJRiAGTdhXsQC_TXKsEOZ3FFI6ZsTh6n0WJH8JcADRoCkcwQAvD_BwE | message=TypeError: null is not an object (evaluating 'toggleBtn.addEventListener')
[FRONTEND_JS_ERROR] la_time=2026-05-18 06:29:19 AM PDT | ip=67.168.58.121 | session_id=d522e6be4c06750e9a38768a274ff512 | script=/log_frontend_error.php | file=https://fleeescape.com/assets/js/custom-swiper-1.js | line=25 | col=16 | stack=global code@https://fleeescape.com/assets/js/custom-swiper-1.js:25:16 | url=https://fleeescape.com/birthday-party-escape-room-vr-party?gad_source=1&gad_campaignid=22182670738&gbraid=0AAAAADfWZ6FFinx5lpbkCWKgdQytJJc_k&gclid=CjwKCAjw8arQBhB9EiwAfIKdQrbUX4BSq3OgJJRiAGTdhXsQC_TXKsEOZ3FFI6ZsTh6n0WJH8JcADRoCkcwQAvD_BwE | message=TypeError: null is not an object (evaluating 'swiperContainer.addEventListener')
[FRONTEND_JS_ERROR] la_time=2026-05-18 06:29:22 AM PDT | ip=67.168.58.121 | session_id=d522e6be4c06750e9a38768a274ff512 | script=/log_frontend_error.php | file=Unknown File | line=0 | col=0 | stack=No stack trace available | url=https://fleeescape.com/birthday-party-escape-room-vr-party?gad_source=1&gad_campaignid=22182670738&gbraid=0AAAAADfWZ6FFinx5lpbkCWKgdQytJJc_k&gclid=CjwKCAjw8arQBhB9EiwAfIKdQrbUX4BSq3OgJJRiAGTdhXsQC_TXKsEOZ3FFI6ZsTh6n0WJH8JcADRoCkcwQAvD_BwE | message=Script error.
[FRONTEND_JS_ERROR] la_time=2026-05-18 07:44:16 AM PDT | ip=74.125.217.6 | session_id=eddd15797050c35ff63e080f3900ed1f | script=/log_frontend_error.php | file=https://fleeescape.com/assets/js/escape-room.js | line=26 | col=52 | stack=TypeError: Cannot read properties of null (reading 'addEventListener')     at https://fleeescape.com/assets/js/escape-room.js:26:52 | url=https://fleeescape.com/corporate-team-building-escape-room-vr-party | message=Uncaught TypeError: Cannot read properties of null (reading 'addEventListener')
[FRONTEND_JS_ERROR] la_time=2026-05-18 07:44:16 AM PDT | ip=74.125.217.7 | session_id=eddd15797050c35ff63e080f3900ed1f | script=/log_frontend_error.php | file=https://fleeescape.com/assets/js/custom-swiper-1.js | line=25 | col=17 | stack=TypeError: Cannot read properties of null (reading 'addEventListener')     at https://fleeescape.com/assets/js/custom-swiper-1.js:25:17 | url=https://fleeescape.com/corporate-team-building-escape-room-vr-party | message=Uncaught TypeError: Cannot read properties of null (reading 'addEventListener')
[FRONTEND_JS_ERROR] la_time=2026-05-18 07:44:26 AM PDT | ip=74.125.217.6 | session_id=eddd15797050c35ff63e080f3900ed1f | script=/log_frontend_error.php | file=https://fleeescape.com/corporate-team-building-escape-room-vr-party | line=776 | col=13 | stack=TypeError: Cannot read properties of null (reading 'addEventListener')     at HTMLDocument.<anonymous> (https://fleeescape.com/corporate-team-building-escape-room-vr-party:776:13) | url=https://fleeescape.com/corporate-team-building-escape-room-vr-party | message=Uncaught TypeError: Cannot read properties of null (reading 'addEventListener')
[FRONTEND_JS_ERROR] la_time=2026-05-18 07:44:27 AM PDT | ip=74.125.217.6 | session_id=eddd15797050c35ff63e080f3900ed1f | script=/log_frontend_error.php | file=Unknown File | line=0 | col=0 | stack=No stack trace available | url=https://fleeescape.com/corporate-team-building-escape-room-vr-party | message=Script error.
[FRONTEND_JS_ERROR] la_time=2026-05-18 10:06:09 AM PDT | ip=172.226.36.37 | session_id=0a8733d2b83a69161aebde86f341c383 | script=/log_frontend_error.php | file=https://fleeescape.com/birthday-party-escape-room-vr-party | line=776 | col=12 | stack=@https://fleeescape.com/birthday-party-escape-room-vr-party:776:12 | url=https://fleeescape.com/birthday-party-escape-room-vr-party | message=TypeError: null is not an object (evaluating 'toggleBtn.addEventListener')
[FRONTEND_JS_ERROR] la_time=2026-05-18 10:06:09 AM PDT | ip=172.226.36.37 | session_id=0a8733d2b83a69161aebde86f341c383 | script=/log_frontend_error.php | file=https://fleeescape.com/assets/js/escape-room.js | line=26 | col=52 | stack=global code@https://fleeescape.com/assets/js/escape-room.js:26:52 | url=https://fleeescape.com/birthday-party-escape-room-vr-party | message=TypeError: null is not an object (evaluating 'document.querySelector(".Boo_Prison_Escape_select").addEventListener')
[FRONTEND_JS_ERROR] la_time=2026-05-18 10:06:09 AM PDT | ip=172.226.36.37 | session_id=0a8733d2b83a69161aebde86f341c383 | script=/log_frontend_error.php | file=https://fleeescape.com/assets/js/custom-swiper-1.js | line=25 | col=16 | stack=global code@https://fleeescape.com/assets/js/custom-swiper-1.js:25:16 | url=https://fleeescape.com/birthday-party-escape-room-vr-party | message=TypeError: null is not an object (evaluating 'swiperContainer.addEventListener')
